ONS code,New constituency name,Total population,Number of households,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure,Cluster
E14001080,Bath,102411.0,42099.0,0.1479387583728787,0.21462885933563772,0.12291288300427676,0.16800437440193725,0.17411681996602027,0.17239830491924932,0.8255558484928377,0.005556043784359102,0.07754049857925419,0.019206921131519075,0.0481686537578971,0.01793752624229819,0.006034508011834666,0.7902276122682134,0.09468709415980706,0.05134214098094931,0.014041460389997169,0.036480456200994035,0.013221236000039058,0.49082618078136137,0.3915985587485719,0.007264844596771831,0.007040259347140444,0.002187265039888293,0.015144857486012245,0.0011717491285115856,0.006737557488941618,0.07802872738280067,0.3277750065322217,0.243925033848785,0.255231715717713,0.1634480628993563,0.009620181001924036,4
E14001081,Battersea,108899.0,47736.0,0.15590306792407782,0.10502199245185995,0.29477231614034766,0.22161412659204233,0.136674594356342,0.08601390253533026,0.6023654946326412,0.0146741476046612,0.15855976638903937,0.06282885976914389,0.07573072296347992,0.06361858235612816,0.022222426284906196,0.46126650627192417,0.21773586291759262,0.09092912633840843,0.12361108560304138,0.06391301952285625,0.04254439934617716,0.37383263390848404,0.43597278211921137,0.006308597875095271,0.012038678041120672,0.004876077833588922,0.08561143812156218,0.00239671622328947,0.005840274015372042,0.07312280186227606,0.15851768057650412,0.2114965644377409,0.38006954918719627,0.22544829897771074,0.024467906820848,999
E14001082,Beaconsfield,96476.0,39298.0,0.1878498279364816,0.07949127244081429,0.1052282432936689,0.19822546540072142,0.2138459305941374,0.21535926033417638,0.8401985986151996,0.00945312823914756,0.04888262365769725,0.025529665409013642,0.056708404162693314,0.013910195281728098,0.005317384634520503,0.7215398488758978,0.0743596919473035,0.12999989634835246,0.016066005369155343,0.034681841267866956,0.023352716191423862,0.3209772885115734,0.4825180624229043,0.0047475407117164746,0.03415534201988162,0.003866446911507085,0.036269967140384156,0.054182085808170334,0.0038871785303355414,0.05939608794352707,0.3768894091302356,0.33561504402259656,0.15390096188101177,0.12234719324138633,0.011247391724769708,6
E14001083,Beckenham and Penge,107150.0,46394.0,0.18793280447970134,0.07911339244050397,0.1390853943070462,0.24242650489967335,0.19254316378908073,0.1588987400839944,0.7665817397877761,0.011591119074950303,0.08762400724211626,0.04682177487844257,0.04718574721654488,0.033569448721897134,0.006626163078272718,0.6027980251430278,0.12511782877728728,0.06965197345702633,0.10564924822906847,0.06938131725573278,0.027401607137857335,0.3862155856276248,0.4639477368175455,0.006234251049930004,0.02055996266915539,0.0042463835744283715,0.04157722818478768,0.0025011665888940737,0.0063462435837610826,0.06837144190387308,0.27966978488597666,0.33668146743113336,0.22817605724878218,0.14504030693624176,0.010432383497866104,5
E14001084,Bedford,109962.0,44851.0,0.19548947392352112,0.10552448506342928,0.14605556313372436,0.2112763151911972,0.18374937480107306,0.15790478788705498,0.7188832810439685,0.006402037011776474,0.13924430500613832,0.035283953985358975,0.08222616287000409,0.016150593370617923,0.0018096667121356796,0.5418996953576137,0.15107534215432183,0.16802619015141182,0.06642113399718091,0.04852453053244214,0.02405310780702951,0.3077132931997163,0.46585308186166635,0.003419238673771893,0.019251404979721005,0.0010094029063528727,0.10172235054471382,0.025917101649600784,0.013967953731153266,0.06114617245330375,0.2839401574100912,0.2596820583710508,0.24579162114557088,0.19798889656863838,0.012597266504648727,5
E14001085,Bermondsey and Old Southwark,107159.0,47953.0,0.1401069418911731,0.14859883726355672,0.2750160972741949,0.21813906178553766,0.1457899795634606,0.07234908222207706,0.5452365176980002,0.012635429595274313,0.17510428428783398,0.08904525051558898,0.09540962494984088,0.06988680372157262,0.012682089231889062,0.34345225319385214,0.21643539040117957,0.13172948609076232,0.18186993159697273,0.06722720443453187,0.059285734282701404,0.36818775662560654,0.4118141097424412,0.010778275475923853,0.018365061590145577,0.004488615154908548,0.09741508025382606,0.0025755879059350503,0.0076427771556550955,0.07873273609555805,0.09202761036848581,0.14526724083998915,0.36076992054720247,0.37217692323733653,0.029758305006986008,1
E14001086,Bethnal Green and Stepney,126756.0,46156.0,0.18637235024495688,0.17196683417878303,0.2598436378267078,0.21299809872433081,0.10851471713593727,0.06030436188928422,0.5359351825554609,0.007455268389662028,0.13826564422985893,0.03782069487834895,0.2336930796175329,0.03462557985420808,0.01220455047492821,0.20829783205528732,0.14897914102685475,0.4942330146107482,0.06536968664205245,0.044818391239862414,0.03830193442519486,0.24971204973256125,0.18323103867211538,0.008677953265277143,0.01263825557361271,0.004906988119093075,0.46615598226541916,0.0026664983669669766,0.005112103378090534,0.06689913062686378,0.07500649969668083,0.12644076609758212,0.36285640003466507,0.4079209636883612,0.027775370482710806,999
E14001087,Beverley and Holderness,89503.0,40011.0,0.15172675776230965,0.08461168899366502,0.09376222026077338,0.16320123347820745,0.23617085460822543,0.2705272448968191,0.9611749195566679,0.0018658383982838756,0.017462906685734716,0.005072398998927422,0.00904987486592778,0.003731676796567751,0.001642384697890597,0.9607383075238543,0.017105762999709503,0.00889365600768698,0.002469218564948269,0.008178588187973453,0.0026144667158275793,0.39820566678584196,0.5275294958884519,0.00275965319985699,0.0019887379335001786,0.0008267786914551305,0.003999821237039685,0.0004804254558455488,0.0033741508759385056,0.06083526993207008,0.4440278923296094,0.29659343680487865,0.15765664442278374,0.09609857289245458,0.005623453550273674,2
E14001088,Bexhill and Battle,89109.0,40145.0,0.14722418610914723,0.07687214535007687,0.0871068017820871,0.14253330191114252,0.22392799829422394,0.32233556655332235,0.9266852955369267,0.005667216555005667,0.026473195749026474,0.012826987173012828,0.01670987217901671,0.008798213424008798,0.002839219383002839,0.9189419699469189,0.03734751820803735,0.014858207364014858,0.005723327610005723,0.01798920423301799,0.00513977263800514,0.4057951497604058,0.5093761572905093,0.003187107924003187,0.002435219787002435,0.001571109540001571,0.005768216454005768,0.00017955537600017956,0.005756994243005757,0.06593048962506592,0.4846680782164653,0.2525843816166397,0.16228671067380745,0.09166770457093038,0.00879312492215718,2
E14001089,Bexleyheath and Crayford,98663.0,37938.0,0.20585224450908648,0.09776714675207525,0.1271804019743977,0.2060650902567325,0.19413559287676233,0.16899952363094575,0.8071293912549918,0.007733473880521376,0.05802639314021609,0.05747906995601143,0.057854087693336845,0.010074800835174636,0.001702783239747826,0.6627307095871806,0.06906337735523956,0.1005645480068516,0.10972705066742346,0.033295156238914284,0.0246191581443905,0.33844500978076886,0.49923476885965357,0.007611769356293646,0.0313288669511367,0.0005675886603894064,0.0370554311139941,0.025886097118473998,0.003983256134518513,0.05588721202477119,0.3389213980705361,0.3717117402077073,0.1340344773050767,0.14310190310506615,0.012230481311613686,5
